       w1         w2         w3   Data Height 
    33.132      7.796      0.797      1713096 
    33.131      7.795      1.002      2304527 
    33.156      3.842      0.798      1413538 
    33.152      3.843      1.002      1658826 
    33.126      0.792      0.797     25641574 
    33.130      0.793      1.001     12217107 
    33.140      0.997      0.799     11364163 
    33.129      0.997      1.001     29185922 
    33.122      2.454      0.791       341282 
    33.177      2.454      1.002       333776 
    33.130      2.665      0.796       353172 
    33.114      2.663      0.996       323720 
    33.185      0.487      0.792      1297289 
    33.133      0.488      0.999      1291249 
    33.133      0.643      0.799      4151919 
    33.124      0.647      1.001      2700262 
    33.158      1.277      0.798      1028930 
    33.136      1.287      1.004      1269356 
    33.176      7.642      0.799       831936 
    33.112      7.640      1.003       690465 
    52.848      3.845      1.283       986919 
    52.809      0.804      1.286      1307545 
    52.809      0.804      1.286      1307545 
    52.809      1.018      1.284      1572507 
    52.824      2.447      1.286      1904329 
    52.838      2.665      1.287      1921189 
    52.801      0.486      1.283      1440028 
    52.829      0.645      1.285      1496232 
    52.837      1.287      1.286     96230424 
    52.837      1.287      1.286     96230424 
    52.847      7.647      1.282       548715 
    52.814      6.685      1.290       890561 
    42.068      3.856      2.444       203994 
    42.070      3.840      2.677       228460 
    42.088      0.791      2.448       762500 
    42.078      0.790      2.667       821784 
    42.073      0.997      2.446       693636 
    42.087      0.999      2.667       527312 
    42.066      2.450      2.667     18903144 
    42.073      2.666      2.451     19434192 
    42.052      0.486      2.451      1237980 
    42.065      0.484      2.667      1679558 
    42.085      0.648      2.449      1154698 
    42.045      0.651      2.667       946699 
    42.071      1.290      2.450      3399730 
    42.075      1.286      2.667      3306772 
    42.175      7.650      2.452       143854 
    42.190      7.642      2.659       104016 
    42.076      6.683      2.447       217183 
    42.083      6.686      2.667       354158 
    48.552      7.795      0.486       515173 
    48.519      7.794      0.657       641056 
    48.525      3.844      0.486       850490 
    48.535      3.843      0.653      1000364 
    48.555      1.000      0.485      1385352 
    48.532      1.002      0.654      1990935 
    48.540      2.452      0.485       703190 
    48.522      2.451      0.655       753273 
    48.522      2.663      0.486       844684 
    48.552      2.665      0.654       563799 
    48.539      0.484      0.487     43571168 
    48.532      0.485      0.653     13104761 
    48.542      0.647      0.486     12337794 
    48.539      0.649      0.654     34312712 
    48.599      1.293      0.485      1437608 
    48.530      1.282      0.655      1243194 
    48.543      7.644      0.487       692033 
    48.553      7.646      0.653       825520 
    48.554      4.260      0.484       181149 
    48.475      4.257      0.653       143367 
    48.450      6.690      0.485       205999 
    48.568      6.678      0.651       172917 
    32.711      7.640      4.280      1687754 
    32.717      8.024      4.283      5080606 
    32.736      7.443      4.284      1108544 
    32.740      2.573      4.286      4955116 
    32.746      6.837      4.290      1820460 
    40.318      7.646      2.579      2033410 
    40.325      4.285      2.580      1941759 
    40.334      6.840      2.582      2566929 
    40.335      6.675      2.581       324808 
    40.338      8.020      2.585       772204 
    34.095      6.826      4.284       160112 
    34.160      8.013      4.284      1423207 
    34.173      4.285      4.285     13322573 
    34.180      2.765      4.285      1822415 
    34.186      2.427      4.280      1272393 
    34.184      6.151      4.289       425947 
    34.146      7.446      4.283       241236 
    34.183      8.561      4.283      3937340 
    34.222      7.116      4.285       193519 
    53.280      8.014      2.759       794666 
    53.266      8.015      2.426      1062228 
    53.276      4.285      2.756       805714 
    53.263      4.282      2.427       649315 
    53.268      2.761      2.759      4488899 
    53.277      2.761      2.430      4076985 
    53.272      2.425      2.759      4389200 
    53.268      2.425      2.430      5135906 
    53.270      6.147      2.756       374510 
    53.345      6.146      2.431       310121 
    53.240      7.439      2.760       494419 
    53.280      7.444      2.431       876509 
    53.274      7.118      2.759       379710 
    53.301      7.125      2.431       275874 
    53.197      8.542      2.767       238328 
    53.248      8.536      2.413       214606 
    36.607      6.668      4.120       837669 
    36.622      8.558      4.120      1477682 
    36.595      2.814      4.119      1665714 
    36.602      3.411      4.120      2756385 
    36.620      8.002      4.120       855796 
    38.704      8.559      2.815      1456625 
    38.680      8.559      3.412      1120395 
    38.703      4.117      2.817      1152081 
    38.690      4.121      3.412      2289145 
    38.684      2.815      3.411     11434058 
    38.682      3.412      2.816      9341765 
    38.680      3.413      3.412     18934024 
    38.681      8.003      2.822       692726 
    38.680      8.000      3.414       580017 
    38.694      6.524      2.814       395388 
    38.694      6.523      3.411       532444 
    38.744      6.760      2.814       356604 
    38.690      6.766      3.416       368174 
    51.231      8.003      5.392       570523 
    51.221      5.387      5.388      7035634 
    51.237      2.520      5.386       932454 
    51.221      2.670      5.391      1274624 
    51.227      6.525      5.386      3120445 
    51.327      2.310      5.382       204935 
    51.227      3.790      5.388      2261868 
    51.222      4.130      5.388      2499862 
    51.227      1.955      5.391       366520 
    51.237      2.113      5.391       297897 
    51.198      1.390      5.384       301648 
    51.211      1.566      5.393       160825 
    51.238      0.934      5.392       231926 
    51.226      0.439      5.389      1263864 
    38.624      7.999      2.530       660263 
    38.642      8.003      2.668       575606 
    38.663      5.392      2.524       465922 
    38.589      5.389      2.670       497480 
    38.628      2.517      2.521      4109046 
    38.631      2.520      2.670      3862452 
    38.644      2.673      2.523      4072512 
    38.671      2.679      2.672      5582974 
    38.639      6.752      2.521       173216 
    38.686      6.770      2.665       195234 
    38.633      3.789      2.525       174775 
    38.641      3.797      2.680      -112995 
    38.610      4.124      2.678       193672 
    38.584      1.547      2.520       220509 
    38.672      1.536      2.667       389847 
    38.645      0.436      2.523      1026360 
    38.645      0.435      2.667      1494250 
    38.635      0.326      2.522      1333896 
    38.642      0.331      2.668      1462317 
    38.570      7.127      2.518       174957 
    38.643      7.119      2.685       154143 
    38.645      6.525      2.522      1222722 
    38.632      6.524      2.670      1032984 
    38.340      2.307      4.609      4117769 
    38.332      2.113      4.611       865029 
    38.345      8.253      4.609      6059050 
    38.339      1.610      4.610       808902 
    38.338      0.229      4.608       861432 
    38.316      8.510      4.612       949462 
    38.349      1.949      4.609      3268470 
    32.435      4.605      1.946       649972 
    32.399      4.605      2.308       811340 
    32.421      2.307      1.947     12028905 
    32.422      2.307      2.307     16901848 
    32.441      3.796      1.948       597855 
    32.389      3.787      2.304       459521 
    32.412      4.127      2.306       507795 
    32.341      2.113      1.946      4720047 
    32.384      2.119      2.308      4030000 
    32.412      8.251      1.948      1601523 
    32.438      8.253      2.305      1153345 
    32.432      1.949      2.308     13236038 
    32.339      1.948      1.951     57892980 
    32.340      4.138      1.971      2278372 
    51.602      5.389      3.796      2100874 
    51.606      5.388      4.128      2616243 
    51.634      2.526      3.794       298886 
    51.617      2.514      4.128       265686 
    51.602      2.670      3.796       557563 
    51.600      2.672      4.127       497570 
    51.621      6.523      3.797       620312 
    51.610      6.527      4.129       746236 
    51.609      2.306      3.796       527666 
    51.607      2.306      4.128       809164 
    51.603      3.791      3.798     10581180 
    51.609      3.791      4.128      7572160 
    51.607      4.130      3.796      6599486 
    51.609      2.112      3.795      1635029 
    51.617      2.111      4.127      2398653 
    51.598      1.391      3.796      1012389 
    51.625      1.384      4.128       766538 
    51.609      1.553      3.798       523092 
    51.612      0.937      3.796      1217567 
    51.599      0.935      4.129       783982 
    51.612      0.440      3.796      2037852 
    51.629      0.440      4.127      1334348 
    51.430      1.952      3.793      3402278 
    51.603      1.954      4.127      2415500 
    50.831      5.392      1.959       303614 
    50.874      5.397      2.120       340928 
    50.876      4.606      1.959       154205 
    50.982      4.608      2.108       211848 
    50.878      2.303      2.115      4268882 
    50.872      3.792      2.113      1528543 
    50.849      4.130      1.961      1206070 
    50.866      4.128      2.116      1880225 
    50.872      2.112      2.116     27616860 
    50.876      8.261      2.114       215470 
    51.116      1.396      1.949      1893507 
    50.890      1.392      2.115       719625 
    50.859      0.930      2.113       775442 
    50.861      0.437      1.962       564688 
    50.928      0.438      2.119       341087 
    50.882      1.954      2.115     16711295 
    50.957      2.306      1.962      2919443 
    41.647      8.253      3.065      1344915 
    41.667      1.609      3.063      1450115 
    41.653      0.682      3.065      3179272 
    41.662      0.232      3.064      3538337 
    41.657      8.806      3.065      6159338 
    41.276      3.500      3.043      1557498 
    41.643      4.370      3.060       226576 
    41.645      7.396      3.066       808736 
    41.650      1.969      3.064      1770314 
    41.652      0.997      3.065      3963683 
    41.690      7.544      3.060       131271 
    54.878      8.253      1.618      4142995 
    54.885      3.065      1.617      1248460 
    54.882      0.681      1.618      6017670 
    54.875      0.231      1.618      5756978 
    54.863      8.809      1.622       497650 
    45.596      8.253      0.681      1436896 
    45.572      3.065      0.680      3652605 
    45.572      8.804      0.681      3553206 
    45.567      3.482      0.681       694623 
    45.598      4.369      0.680       906459 
    45.534      7.405      0.682       246856 
    45.601      1.043      0.679      1133736 
    45.596      9.169      0.681       259327 
    45.579      4.682      0.684       642041 
    45.539      1.961      0.681      1047186 
    45.561      8.961      0.680       438752 
    45.537      1.612      0.680      8378735 
    45.564      0.682      0.681    231144672 
    45.565      0.231      0.680     13491666 
    45.810      8.253      0.235      4990063 
    45.789      3.065      0.235      4443338 
    45.776      0.684      0.235     13767928 
    45.785      8.807      0.234      1273056 
    45.824      7.564      0.236       409137 
    45.793      4.357      0.234      2092497 
    45.799      8.964      0.234      1833195 
    45.785      0.230      0.233    204082896 
    45.745      1.606      0.227      8314745 
    44.297      3.061      3.479       810858 
    44.311      3.056      4.378       535488 
    44.339      0.683      3.485       785456 
    44.361      0.685      4.378       865570 
    44.383      8.804      3.486      3306999 
    44.358      8.806      4.378      3007066 
    44.354      3.482      4.379     12851931 
    44.353      4.380      3.484      8237874 
    44.347      7.397      3.480       916604 
    44.387      7.397      4.377       937334 
    44.390      1.135      3.486       505947 
    44.373      1.133      4.376       406563 
    44.355      1.503      3.486       980466 
    44.335      1.513      4.379       767744 
    44.330      2.825      3.478       455339 
    44.320      1.964      3.485       329194 
    31.853      8.808      4.017       185530 
    31.813      7.396      4.024      2091559 
    31.808      4.025      4.024     21970174 
    31.809      1.388      4.024      3611740 
    31.807      1.545      4.024      2025542 
    31.810      0.938      4.024      5869252 
    31.824      0.436      4.026       809126 
    31.807      1.642      4.024      2038333 
    31.814      8.375      4.024      8154341 
    43.407      3.799      1.553       264455 
    43.366      3.066      1.367      1071195 
    43.476      7.397      1.393      1823286 
    43.487      7.396      1.559      1789279 
    43.391      4.026      1.378      1756588 
    43.499      4.029      1.560       778043 
    43.481      0.937      1.558      1207969 
    43.423      0.440      1.386      1653764 
    43.472      0.436      1.557      1750254 
    43.299      0.236      1.370       959898 
    43.468      0.190      1.558       576985 
    43.502      1.958      1.397      1083193 
    43.489      1.962      1.558       948167 
    43.470      0.332      1.557      1124090 
    43.530      0.805      1.560       377850 
    43.335      8.373      1.369      7027542 
    43.486      8.369      1.559       486186 
    47.723      5.372      0.941       188281 
    47.716      6.528      0.944       237621 
    47.669      6.715      0.943       302463 
    47.694      3.790      0.941      1552064 
    47.684      7.397      0.942      1115045 
    47.686      4.029      0.941      6365108 
    47.689      1.394      0.941      5380647 
    47.690      0.441      0.941     10463938 
    47.679      1.634      0.941      6903931 
    47.685      8.376      0.941      3646573 
    47.683      0.184      0.940      1494734 
    47.679      0.277      0.938      1349102 
    47.658      4.180      0.936       635233 
    47.716      8.012      0.943       326274 
    47.690      1.965      0.941      3000073 
    51.446      8.014      0.445       407042 
    51.453      5.380      0.446       826384 
