       w1         w2         w3   Data Height 
   108.526      4.409      8.203      3690846 
   108.540      2.979      8.203      1756064 
   108.538      3.086      8.203      1482157 
   108.523      3.969      8.205      8134142 
   118.994      4.591      8.092       464602 
   118.999      1.463      8.089      1131652 
   118.905      7.840      8.094      1026223 
   119.005      4.385      8.085      1236843 
   118.950      8.228      8.094      6276788 
   118.943      3.967      8.095      6071100 
   118.948      8.092      8.094     97385336 
   118.943      4.906      8.093      2799906 
   118.933      2.867      8.095      4004832 
   118.946      2.975      8.094      2826710 
   119.056      1.669      8.084      1044247 
   118.944      3.529      8.095      1593850 
   118.949      3.612      8.094      1319697 
   115.852      4.268      8.606      2068041 
   115.842      2.340      8.609       312115 
   115.848      1.726      8.608      1384573 
   115.871      1.989      8.609       413552 
   115.832      8.610      8.607     18627144 
   115.839      4.650      8.606      1635264 
   115.870      7.203      8.607       336882 
   115.840      3.201      8.607      2653870 
   115.819      8.248      8.608      1143488 
   118.338      2.990      8.244       395215 
   118.255      8.605      8.248      1118162 
   118.241      4.651      8.250      1566700 
   118.244      4.419      8.246      1039419 
   118.220      7.520      8.250       923420 
   118.257      0.928      8.246       302011 
   118.240      3.206      8.248      2533796 
   120.372      4.431      7.498       244464 
   120.307      3.591      7.501        45930 
   120.405      1.945      7.514       264486 
   120.365      0.929      7.531       276802 
   115.412      1.731      8.916      1421763 
   115.392      0.547      8.917      1115611 
   115.413      4.786      8.917       538795 
   115.434      3.615      8.914      6920001 
   115.439      3.883      8.914      4253136 
   115.434      4.148      8.914      3393394 
   115.411      8.203      8.916      2801250 
   115.341      1.956      8.918      3054024 
   115.346      8.917      8.918     67099088 
   120.086      0.383      8.201       844562 
   120.107      0.551      8.201       654152 
   120.052      3.195      8.205       379962 
   120.072      3.615      8.203       868114 
   120.050      0.864      8.203       910754 
   120.083      8.914      8.202      3401895 
   119.998      3.888      8.202      3981693 
   120.083      4.145      8.203      2957228 
   120.080      4.369      8.202      3708424 
   120.089      1.910      8.202      5306216 
   120.062      7.215      8.201       469825 
   120.079      1.699      8.202      5381696 
   120.061      3.042      8.199       919465 
   120.080      8.540      8.202      2270363 
   107.884      4.404      7.212      1720253 
   107.901      8.185      7.211       316281 
   107.888      1.879      7.211      1276414 
   107.896      1.653      7.212      3996125 
   107.884      3.047      7.214      4453144 
   107.887      1.125      7.212       729863 
   120.154      8.193      8.534      2494733 
   120.173      4.367      8.535     11420588 
   120.172      1.825      8.535      4418768 
   120.178      5.069      8.535      2632056 
   120.173      1.675      8.535      5952201 
   120.217      1.349      8.536      1723996 
   120.259      3.308      8.545       419662 
   120.191      2.285      8.535      1309881 
   120.234      8.867      8.545      1218578 
   106.581      1.355      8.842      1322980 
   106.577      8.603      8.840      3929034 
   106.580      0.289      8.841      3012336 
   106.572      4.902      8.840      2159626 
   106.581      8.302      8.840      1175376 
   106.580      5.067      8.841     12185639 
   106.578      1.673      8.841      2671369 
   106.584      3.564      8.841      3508134 
   106.579      4.536      8.841      3379812 
   106.602      0.544      8.841       894694 
   106.570      0.853      8.841       932485 
   106.576      5.231      8.843       792781 
   106.629      1.806      8.843      4047267 
   120.370      3.564      8.566      7337834 
   120.363      4.537      8.565      6714120 
   120.371      1.158      8.565      1395180 
   120.349      1.492      8.563      6169742 
   120.381      0.872      8.565      1350184 
   120.368      0.549      8.566      5386504 
   120.384      8.706      8.567      4657882 
   120.367      3.694      8.566      1406939 
   120.362      5.227      8.566      3846217 
   122.861      3.089      8.360       545127 
   122.831      8.815      8.367      1105235 
   122.851      3.512      8.363       337687 
   122.861      7.414      8.365      1241198 
   122.854      4.953      8.369      1535511 
   122.852      5.208      8.365     11475289 
   122.855      4.107      8.365      2485601 
   122.852      1.991      8.364      6359566 
   122.856      0.311      8.366      2187631 
   122.850      0.819      8.366      3078182 
   122.849      1.523      8.364      6252453 
   122.862      1.020      8.366      1817435 
   122.854      0.531      8.364       680644 
   123.589      4.106      9.179      6815732 
   123.588      9.178      9.179     22341000 
   123.586      4.706      9.181      1321572 
   123.586      1.299      9.178      1867983 
   123.552      0.871      9.178      3212425 
   123.592      7.575      9.179      6843620 
   123.658      4.370      9.186       359583 
   123.646      1.410      9.180       851404 
   123.591      4.868      9.179      2141146 
   123.601      8.701      9.182       825434 
   123.586      8.388      9.178       665649 
   123.584      2.005      9.179      1507324 
   123.591      0.967      9.181      4212460 
   119.054      3.087      7.578       482226 
   119.032      0.713      7.578      1084152 
   119.029      0.245      7.576      1078080 
   119.052      4.111      7.577      2528092 
   119.035      1.014      7.579      5893592 
   119.043      9.179      7.578     11406240 
   119.019      4.705      7.578      1469709 
   119.033      1.976      7.579      3228788 
   119.028      1.298      7.581      2605411 
   119.028      0.889      7.575      2844833 
   119.035      4.379      7.578      3589090 
   119.042      1.800      7.580      2237768 
   119.028      8.985      7.576       863160 
   119.025      1.145      7.579       996613 
   119.058      5.571      7.579       639463 
   119.038      8.422      7.578      4247044 
   119.035      1.393      7.578      3569630 
   124.599      0.254      8.980      2867629 
   124.623      7.581      8.980       825021 
   124.601      4.382      8.981     17129476 
   124.590      1.808      8.981      1794760 
   124.602      1.962      8.981      1758049 
   124.597      2.094      8.980      2989824 
   124.555      4.439      8.981      5411938 
   124.592      0.736      8.980      3157132 
