       w1         w2         w3         w4   Data Height 
    26.729     15.471      5.577      1.098        84866 
    27.341     33.118      4.538      1.107       -83615 
    21.713     15.203      5.642      1.380        82992 
    22.164     34.000      0.746      1.364       -77855 
    20.004     27.023      0.473      0.517        65247 
    27.500     14.211      0.321      0.429       228579 
    30.751     24.595      1.150      4.961      -131345 
    15.876     16.004      1.900      1.570       280981 
    21.636     28.191      1.527      0.221       120867 
    21.645     19.397      1.007      0.166       379037 
    17.438     17.468      0.273      0.277     13927497 
    17.415     20.039      0.516      0.275       330755 
    17.453     23.655      0.838      0.281       362338 
    17.353     23.338      0.149      0.285       383955 
    19.226     31.807      4.743      1.508      -482455 
    19.243     21.587      0.166      1.015       311581 
    18.343     26.769      0.905      0.888       183306 
    23.768     17.445      0.276      0.854       332694 
    23.552     28.502      0.163      0.858      -134522 
    23.732     23.326      0.153      0.855       261559 
    13.947     13.909      4.219      4.224     12853314 
    26.993     24.023      2.481      0.517      -119582 
    24.514     26.846      0.491      2.484      -112593 
    27.434     25.789      2.311      0.531        65224 
    26.827     26.033      2.405      0.496       -70822 
    26.015     25.889      2.339      0.526       -97830 
    23.174     25.885      2.330      0.166       -98201 
    26.248     23.314      0.166      1.626       190002 
    26.137     27.249      0.459      1.639       250574 
    27.039     20.846      1.476      1.638      -953300 
    26.996     23.446      0.852      1.638       265579 
    26.212     22.570     -0.240      1.623       108886 
    27.655     25.792      1.579      1.635       -65992 
    27.095     27.108      1.630      1.633      5356888 
    25.355     27.287      1.609      1.632      -143269 
    21.228     27.073      1.587      1.473     -1301808 
    21.192     25.056      0.871      1.475      -609347 
    21.183     23.437      0.828      1.472      -491741 
    21.056     20.937      0.837      1.457      -381201 
    21.605     21.564      1.484      1.472      8043986 
    21.640     13.917      4.228      1.473      -474706 
    20.820     32.162      4.484      1.473       283881 
    20.794     29.764      3.522      1.472       191313 
    19.862     29.711      3.629      1.496       -99787 
    14.975     29.310      1.536      1.544       -99169 
    13.947     21.640      1.535      1.544       287798 
    14.972     21.194      0.908      1.542       -74853 
    13.947     20.975      0.833      1.460     -1146737 
    26.843     25.519      0.735      1.317       267479 
    26.811     23.666      0.735      1.308       290492 
    25.854     24.036      0.771      1.281        83003 
    26.779     26.756      1.306      1.310      2568756 
    26.850     21.319      1.311      1.320      -430016 
    26.814     14.288      0.840      1.296       483446 
    26.902     19.564      1.990      1.289      -197797 
    27.675     22.648      3.034      1.284        75288 
    26.228     22.553      3.039      1.293      -211521 
    26.951     17.086      4.777      1.316       126952 
    23.501     17.281      4.811      0.723       102475 
    27.397     34.000      4.231      1.289       -71530 
    26.913     34.000      4.245      1.310      -115504 
    25.375     13.798      1.792      0.729      -105545 
    25.547     13.623      1.671      0.734      -111285 
    26.349     26.362      0.889      1.301       649258 
    26.902     19.564      1.990      1.289      -197797 
    16.559     25.512      2.311      5.220       -89112 
    16.830     25.586      3.719      5.215      -125035 
    16.635     30.104     -0.213      5.220       -99784 
    26.107     32.599      5.422      0.101       -93403 
    26.219     32.285      5.400      0.076      -106616 
    24.930     32.787      5.356      0.087        84819 
    34.000     23.661      0.734      4.255      -622806 
    34.000     25.473      0.726      4.255      -165368 
    34.000     21.392      1.371      4.255       316192 
    32.465     21.858      1.312      4.239       -64193 
    19.279     31.097      4.048      1.457      -149636 
    19.121     19.127      1.466      1.472     79142280 
    32.159     32.189      4.490      4.492      7089264 
    32.177     20.816      1.473      4.494       401874 
    32.115     23.377      0.843      4.492      -359917 
    32.156     29.756      3.531      4.493       443692 
    32.193     29.727      3.747      4.492       653747 
    23.407     32.195      4.489      0.853      -390730 
    23.262     20.747      1.474      0.853      -308554 
    23.344     27.101      1.621      0.841       333769 
    23.495     29.622      3.526      0.854      -107511 
    23.392     29.908      3.747      0.852      -107865 
    23.706     26.797      0.499      0.853       351162 
    23.480     23.468      0.838      0.847     70663712 
    15.197     19.787      2.575      4.297      -315350 
    15.189     29.758     -0.138      4.295      -162068 
    15.267     15.276      4.289      4.295     10945770 
